Sentence,Global start,Global end
This is mission control Houston.,1159.65164,1160.9309400000002
"Again, you're getting a live look at the inner national space station's quest airlock.",1160.9309400000002,1164.96918
"These are some live views as two astronauts, Victor Glover on the left and Kate Rubins on the right are getting situated and suited up and configured ready for today's spacewalk schedule to go out the hatch.",1165.3887399999999,1179.46994
In a little more than an hour from now.,1179.5498400000001,1182.08884
"Right now, they are being pressurized with oxygen.",1182.5883800000001,1185.7670400000002
"As part of a test, some of the procedures to get them configured and ready for today's spacewalk.",1187.45444,1192.19234
You can see they're already outfitted with many of the heathers and tools needed for today's activities.,1192.4919399999999,1197.36384
"On the left, you can see Victor Glover.",1201.3192801000002,1203.49844
Division on on one fifth for nineteen.,1203.9179803000002,1207.6163803000002
"The port of the Utica, Connecticut zero zero one two zero zero one eight Now temp, so this is the equipment lock.",1208.4049200000002,1219.09832
I understand that will be stowed for stowage node later.,1219.09832,1222.0370990000001
Good numbers and good plan.,1225.3747380000002,1226.874238
Houston station on one step twenty one.,1274.2768640000002,1276.9644
The time is zero nine five one.,1276.9644,1279.98314
Copy.,1284.909585,1285.409585
And the Houston station is the twenty one.,1302.9796000000001,1305.1987500000002
"Perceval is closed, the nine fifty one, and I'm gonna continue with the region.",1305.3784,1310.3649450000003
Copy.,1312.04411,1312.54411
This is mission control Houston.,1395.11704,1396.5963000000002
"Again, you're getting live views from inside.",1396.5963000000002,1398.6155400000002
The Quest Airlock.,1399.0048100000001,1400.02455
The two astronauts are undergoing a pressure check right now.,1400.04428,1402.56302
Some of the procedures just counting down to starting today's spacewalk.,1402.56302,1408.1005100000002
"At this point, we are right on the timeline.",1410.0492600000002,1412.2284100000002
"A little less than forty minutes, we should expect the two astronauts to be configured in the crew lock, which is positioned behind my Hopkins, which you see at the back end of your view here.",1414.68694,1425.90119
With the hedges closed and and the go for depressurization.,1427.9991400000001,1431.0578600000001
"We're right on the timeline to begin today's Space Walk, which is originally scheduled for five AM Central Time, six AM Eastern.",1433.1965500000001,1440.09291
The Space Walk will officially begin when the suit themselves are switched to battery power.,1441.8717800000002,1446.67893
This will be after depressurization towards vacuum.,1446.67893,1450.33734
Installations decimal one.,1452.5446000000002,1454.2839800000002
Both should pass the leak check go back to the original procedure.,1455.1832900000002,1458.6018400000003
"Great news, returning to procedure one decimal two two five step sixteen, and your go for depressed time no earlier than ten thirty GMT, one zero three zero.",1461.0795600000001,1473.43216
Copy.,1478.1090400000003,1478.4289
One zero three zero.,1478.4289,1479.7284900000002
So we have stopped picking up the step sixteen and the start the save for darling.,1479.7882100000002,1485.16577
Incur.,1486.5847800000001,1487.0847800000001
Which you just heard was the cam cam from the orbit one team.,1518.15497,1522.3731100000002
We are right on the timeline.,1522.87262,1524.1322400000001
So here is the the configuration for what will be worked on today.,1528.20847,1534.08551
What you're seeing is the modification kit.,1534.08551,1536.7541800000001
"This is the bracket that both Rubens and Glover will take out to the mass canisters, which are the soda can looking fixtures you see on the right there that sort of support the solar arrays.",1536.7541800000001,1547.8377400000002
What they're gonna be doing is installing this bracket in preparation for some future spacewalks.,1547.8377400000002,1552.8954800000001
Now the brackets themselves are kind of long and shoved into a bag that will be essentially a little bit larger than the chronauts themselves in terms of length when configured.,1553.41489,1565.93854
You see all the different struts that are pointing on the modification kit here.,1566.1581700000002,1570.2249800000002
They're configured in a bag and stowed away.,1570.5848100000003,1573.00384
Both of the astronauts will take out a one bag each each meant for two different masked canisters on the port six trust.,1573.3833900000002,1581.0298200000002
"One on the four b power channel, the other on the two b power channel.",1581.36939,1584.64774
This is the power channel.,1584.64774,1585.7671800000003
It was on the earth facing and space facing side.,1585.7671800000003,1588.3349600000001
Of the far end of the International Space Station.,1588.4549000000002,1591.27374
"Essentially, this is their work for today.",1592.4129400000002,1594.4119400000002
The first task will be installing this configuration on the two b power channel.,1594.4119400000002,1598.9791400000001
This is the power channel that's on the earth facing side.,1598.9791400000001,1602.2974600000002
You can see sort of on the on the right and then towards the earth there.,1602.2974600000002,1605.8759200000002
That is their primary task for today.,1606.4647400000001,1608.6039100000003
The remainder of their time will be setting up the four b channel.,1608.98349,1612.9617400000002
And they'll be setting up that mounting bracket and getting as far into the procedures as they can.,1613.1499400000002,1619.3670700000002
It is expected that through the course of the six and a half hours that they will not complete those activities just by design the way that the procedures are laid out.,1619.8266,1628.9209600000002
But that is okay.,1629.2499400000002,1630.1695000000002
"We have another spacewalk coming up next Friday, March fifth.",1630.1695000000002,1633.5880100000002
And the first task on that spacewalk is to complete the work of installing that mounting bracket on the four b channel.,1633.6877100000002,1640.5230700000002
"So far, we're staying right on the timeline for today's activities preparing for our two space walking astronauts to head out the hatch.",1657.3723800000002,1664.1983
They're scheduled to switch to battery powered officially begin today's spacewalk about an hour from now.,1665.4174200000002,1670.57364
What you're seeing now is Soichi Naguchi on the left and my Hopkins on the right preparing what's called a SAFR.,1671.87271,1678.75906
This is a simplified aid for EVA rescue.,1678.75906,1681.37802
This is one of the final steps before the astronauts themselves are situated in the crew lock.,1682.4772000000003,1688.3133400000002
What's in the crew lock now is this bag.,1691.6099900000002,1693.8089000000002
This is called a modification kit bag.,1693.8089000000002,1695.5680200000002
And what you saw was the the modification kit.,1695.5680200000002,1698.8064000000002
"Once it is fully installed, this is what it looks like.",1698.8064000000002,1701.1250400000001
Stowed in the bag.,1701.2449700000002,1702.5445600000003
"All components fit inside the bag except for the mounting bracket, which will be affixed to the outside of the bag.",1702.76422,1710.38064
"Again, the length of those bags will extend even a little bit more than the length of the astronauts themselves.",1712.2893400000003,1718.1866400000001
They're quite big.,1718.2063400000002,1719.2261400000002
But each of the astronauts will have one of these modification kit bags in tow as they make their way out to the very far end of the International Space Station's Port Trust.,1721.3742100000002,1732.4981400000001
"Once they're out there, you can see the configuration.",1734.67684,1736.61609
This the configuration with the mounting brackets that you can see on the left.,1736.7158400000003,1740.9932400000002
"And once they are on the right there, this is what the configuration will look like once the the new solar arrays themselves are deployed.",1741.0929,1748.3188400000001
"Again, the solar arrays have not yet been delivered to the International Space station.",1749.17814,1753.3848400000002
"What you're seeing now is the preparation work to make sure that once they are delivered, that they could be hooked up and ready to go.",1753.3848400000002,1759.9218400000002
The work today is just installing that mounting bracket.,1760.2699400000001,1762.90864
You're not wiring anything to get ready for drawing power from those irosos.,1762.90864,1768.9259000000002
"Once each new ray is installed, it'll be drawing in more than twenty kilowatts of power each.",1776.58164,1782.8684400000002
"Back to the quest airlock, you're again looking at the fight aid for EVA rescue the SAFER unit that will be affixed to the",1792.1733400000003,1800.0000400000001
Bottom portion of their of the back of their space suits.,1800.83962006,1804.4980400000002
This is one of the final steps before they are situated in the crew lock.,1807.6349400000001,1811.73314
The simplified aid for EVA rescue provides propulsion.,1816.0999800000002,1818.9987800000001
Should the space walkers become untethered at any point during today's spacewalk?,1820.13796,1824.51602
"Highly unlikely, but it is that fault tolerance that provides the safety needed for our space walking astronauts today.",1825.974539,1832.9513000000002
As we lose some of the video and audio feeds from the international base station.,1947.7717100000002,1951.5598100000002
What you're looking at is the white flight control room.,1951.5598100000002,1954.0785400000002
This is one of the room supporting today's spacewalk.,1954.0785400000002,1956.3776500000001
"This team, orbit one, has been supporting Astruments, Kate Rubens, and Viktor Glover that are suited up, and of course, Suicina Gucci.",1956.6372600000002,1964.5924900000002
"And Mike Hopkins, who are helping them get prepared for today's spacewalk.",1964.5924900000002,1969.0393600000002
This is the Orbit one team.,1969.0591100000001,1970.63857
They are nearing the end of their shift as the new shift Orbit two plans to come in who will be leading our space walkers through their procedures today.,1971.21803,1979.37271
Now as both of our astronauts continue to get situated and prepared for today's spacewalk scheduled to go out the door and start today's spacewalk in just about an hour from now.,1987.63704,1998.9000500000002
Let's take a moment to look at some of the procedures that they will be prepared for ahead.,1999.0599800000002,2003.9178000000002
"For US EVA seventy one, EV one will egress the joint airlock first.",2006.3448400000002,2011.3226100000002
"You'll see EV one has the red stripes, and EV two, the white suit.",2011.3423400000001,2015.4892800000002
EV two will pass out the two strut bags containing structure to support new solar arrays.,2015.5090300000002,2021.8860900000002
Eighty two will head out to p one where he will install the anchor hooks or the crew safety tether.,2022.0149800000002,2029.33004
And this is what we call a slingshot and we'll give them a hundred and seventy feet of length that they need to get all the way out to p six.,2029.6898600000002,2036.7865700000002
"At that point, both crew members will translate to p six and install their respective bags on the four bravo and two bravo.",2037.9246400000002,2046.6205400000001
Worksites.,2047.34992,2047.84992
EV one will translate back inboard and retrieve a portable foot restraint.,2050.82818,2056.12577
With a extension and head back to join EV two at the two brother worksite.,2057.38456,2064.2813800000004
"EV1 will set up this portable foot restraint or access to the mod kit installed and then translate over to the bag where both crew members will begin building what we call the upper triangle, which includes the mounting bracket and leftstrut and a right strut.",2065.07972,2083.53974
They'll use their pistol grip tool to assemble that triangle.,2084.1192100000003,2087.29786
"Once it's complete, EV one all be in the portable foot restraint and EV two will hand it off to EV one.",2088.1172,2094.86304
Here you see EV one installing this on the mass canister.,2095.76234,2099.0209400000003
And there's a strong soft dock feature that will hold it in place.,2099.55998,2102.97854
"Once it's positioned in place, even one will use the pistol grip tool to drive four bolts.",2103.7179,2108.33586
One will then reposition the foot restraint for access to the left side of the mok kit.,2110.52444,2116.42176
Here you see the mid strut on EB one's body restraint tether.,2119.31919,2122.8177
EB one will hold the lower strut while EB two gets into position.,2123.7569700000004,2127.29544
Now work together to install the left lower strut.,2128.42457,2131.24339
"EV two will start off by driving the bolt with his pistol grip tool, and EV one will drive the upper bolt that connects it to the mounting bracket.",2131.5430100000003,2141.38832
I'll then work together to install the mid strip on the left side You can see EV two driving four bolts that hold it to the mass canister.,2142.76737,2154.05184
Similar to the h fixtures that were recently removed.,2154.3299700000002,2157.0288800000003
And EV one will drive the bolt to secure it to the upper strut.,2157.7682600000003,2161.34672
And one will then reposition the APFR and get back in after getting the mid strap on her BRT.,2164.4645800000003,2172.56077
Near teas standing for body restraint tether.,2173.4799000000003,2175.81894
So get back into the portable foot restraint.,2181.3945400000002,2183.57368
Receive the right lower strap.,2185.19264,2188.05146
And then EV two will translate around the mass canister for access to the installation point for the right lower strut.,2189.45994,2196.8365000000003
"Again, just like the left side, they'll be working together to drive their respective bolts with their pistol grip tool.",2197.62467,2203.76184
EV two will translate up for the mid strut install.,2209.1681000000003,2213.14637
Or he'll drive four bolts.,2215.89381,2217.67317
EV one will have a single bolt.,2217.85282,2219.75212
And the EV two will tighten the clamp bolts on both sides.,2220.86994,2224.16856
"The mid strengths are telescoping, and this clamp bolt prevents it from telescoping any curve there once it's in place.",2224.38819,2230.1850400000003
Accrual then work together to secure the thermal blankets over all of the struts and make sure their employees as well as verifying that the pit pins that provide grounding pads for the structure are also in place.,2233.46339,2246.06614
They'll then grab the necessary tools and head over to the four bravo worksite.,2248.11484,2252.53288
Very similar kind of a mirror image to what they were working on previously.,2253.9918900000002,2257.4904
EV1 will install the APFR or the portable foot restraint.,2258.55954,2262.5778
And they'll work together again to build the upper triangle consisting of the two upper struts and the mounting bracket.,2264.59654,2272.72239
"Maybe one in the in the portable foot restraint, we'll receive the upper triangle, install that in place.",2276.44996,2282.66709
"And they'll get set up to install the final piece to get to what we call the minimum configuration by installing this right, lower strut.",2284.6949600000003,2294.42961
The system is now in a good configuration to leave it out and operate space station nominally.,2295.3289400000003,2300.70649
"If we didn't have this installed, then we would need to perform a tie down to make sure that everything was structurally sound before heading back in.",2301.43494,2308.4517
"If there is extra time, we'll continue to build the four bravo mod kit on the CVA.",2309.9598800000003,2314.53784
"If not, we have plans to perform the rest of the install.",2315.11729,2319.0156
On the next EVA.,2319.46501,2320.5647400000003
The crew will then pack the empty bag with the tools that they plan to bring inside.,2321.6239400000004,2325.8420800000004
EV two will carry that back to the airlock.,2327.30994,2329.84894
Both crew members will translate back to the airlock from p six.,2330.62827,2334.64654
"They'll leave the slingshot out, meaning that the tethers will be strung out to p one because we'll use them again on a future EVA.",2337.3640400000004,2345.8289400000003
EV two will put the bag in the airlock in ingress followed by EV one we will then close the hatch.,2346.20854,2352.53459
What you just saw was an animation that will be following the procedures scheduled for today.,2365.53494,2370.97224
"Now, what you just saw was our two space walking astronauts completing the mounting bracket installation on the two b power channel.",2370.97224,2379.69774
This is the power channel that faces the earth.,2379.69774,2381.91684
"And the schedule as as it is written now is for them to start the procedures on the four b channel, which is space facing side, but the plan is that they may run out of time.",2382.07504,2393.88767
They may exhaust the total allotted six and a half hours that they have.,2393.88767,2397.5861
Before they,2398.41508,2399.70764
Need to go ahead and head back inside and complete today's spacewalk.,2400.04012,2405.45766
"But if that is okay, they are scheduled to complete that work next Friday, March fifth.",2405.5973404,2410.4847800000002
"Rubins will head out once again this time with a Jackson astronaut, Suuija Naguchi, who you see as a suit IV, helping our two space walking astronauts get set up.",2410.98428,2420.488139
He's positioned on the left there wearing the JAXA t shirt.,2420.488139,2424.10658
"NASA astronaut, Kate Rubens, is already inside the crew lock.",2425.55476,2429.75266
"She's got her SAFER unit, which is currently being a fixed to Victor Glover that you see Suuichi Naguchi on the left and Mike Hopkins helping him out get that safer unit affixed to his suit that has a simplified aid for EVA rescue and provides propulsion.",2429.75266,2446.1334
"So in the unlikely event that that glover were to become untethered during today's spacewalk, can propel himself back to the International Space Station, just one of those fail safe that helps them to be successful for today's spacewalk.",2446.832797,2459.9165000000003
This is the final step before a glover will be situated inside the crew lock.,2461.964618,2467.54208
"Rubins is situated on the nadir side or towards the bottom of airlock lever, it will be positioned towards the top of the crew lock in the back there.",2470.8986600000003,2480.0829
So it will be Rubens that'll be out the door first.,2480.6623640000003,2483.24132
"She'll be wearing the suits with the red stripes for today and a glove is, as you see now, is wearing the suit with no stripes.",2483.760104,2491.8563
"Once our astronauts head outside, they'll turn on their wireless video system, And for Kate Rubin, she has a high definition camera that will be test running for today's spacewalk for the first time.",2496.7831,2506.6672000000003
The cameras that you can expect to see on the screen.,2507.86486,2511.4033400000003
Okay.,2512.0227840000002,2512.34262
Rubens will have a translucent number twenty.,2512.34262,2515.1214800000002
"At the bottom of the screen, and Victor Glover will be helmet camera number twenty two.",2515.2101000000002,2519.708094
Correction.,2526.4537800000003,2526.9537800000003
It'll be Victor Glover will wear the suit with number twenty.,2527.09346,2532.7908700000003
And Rubens will be the one with helmet camera number twenty two.,2532.98012,2537.19826
This is mission control Houston.,2645.1738800000003,2646.7331
"Again, you are getting you are getting my views from the International Space Station.",2646.7331,2650.43151
Victor Glover is currently being positioned inside the crew lock today.,2650.7600700000003,2656.25759
His setup procedures are complete.,2657.9351100000003,2660.1542400000003
Lead checks are good.,2660.25394,2661.67348
Tethr's and tools are configured and ready to go.,2662.5728,2665.58019
Now Hopkins is inside the crew lock with him and Suichi Naguchi giving him one final push to get him positioned and and ready for today's spacewalk.,2665.86004,2675.4355
On the ground in the International Space Station flight control room.,2680.0829000000003,2683.48974
There is currently doing a handover today.,2683.48974,2686.62844
Flight director Marcos Flores is leading the room.,2687.32784,2690.52624
He'll be the flight director for today's spacewalk and leading our crews and the and the teams on the ground here through their procedures.,2690.52624,2698.29234
Frank Rubia will be the ground IV.,2699.15166,2701.13094
"He is was well, the astronauts hired in for the twenty seventeen class, took his two years of training and is now officially an NASA astronaut It'll be his voice that you hear from here in Mission Control Houston to our two space walking astronauts once they head out the hatch.",2702.14004,2719.2215100000003
The space walking officer today is Art Thomason.,2724.17794,2726.91684
Who walked us through some of the procedures for the briefing a few days ago.,2728.29479,2733.35254
"It is his job to know the procedures forwards and backwards, and work with his team that is supporting in the back room.",2734.2918,2741.90819
"The mission once again today is to install some mounting brackets on the mass canisters of the current solar arrays on the port six Trust, the very far port end of the International Space Station.",2748.53386,2759.7983400000003
"You see Jack's astronaut, Switching Naguchi, with a communications handheld next to him.",2785.60264,2792.12964
He has a direct line to the two space walking astronauts today.,2792.74907,2795.78752
"Kate Rubens and Victor Glover, Victor positioned with his head towards the camera.",2795.78752,2800.54421
Kate Rubin's just out of frame situated with her head towards the hatch.,2802.36304,2805.48149
She'll be the one to open that up.,2805.48149,2807.0101400000003
And be the first one out the door today.,2807.13008,2809.34924
"From this view, position to the right of Victor Glover, you see two very long bags inside are the druts for the mounting bracket that'll be installed today.",2818.97389,2828.37862
"They're quite long, and you see they do take up quite a lot of room in the airlock today.",2828.37862,2833.33516
"Once they're situated outside of the airlock, both rubens and glover, they'll pass out those strut bags containing all the all the equipment that they'll need for today's activities, of course, the pistol grip tool they already have affixed to their we'll call it a tool built.",2833.61501,2851.1762
But the strap bag will be maneuvered outside of the airlock.,2853.57421,2858.1122
"The strap bag themselves are quite long, even longer than the astronauts themselves.",2858.2918600000003,2861.89891
